Table 1
LocationType,Location,TimeFrame,DataFormat,Data,,
State,Missouri,2014,Percent,0.889,,
State,Missouri,2015,Percent,0.901,,
State,Missouri,2016,Percent,0.915,,
County,Adair,2014,Percent,0.94,,
County,Adair,2015,Percent,0.937,,
County,Adair,2016,Percent,0.938,,
County,Andrew,2014,Percent,0.937,,
County,Andrew,2015,Percent,0.95,,
County,Andrew,2016,Percent,0.947,,
County,Atchison,2014,Percent,0.938,,
County,Atchison,2015,Percent,0.953,,
County,Atchison,2016,Percent,0.94,,
County,Audrain,2014,Percent,0.844,,
County,Audrain,2015,Percent,0.875,,
County,Audrain,2016,Percent,0.867,,
County,Barry,2014,Percent,0.94,,
County,Barry,2015,Percent,0.959,,
County,Barry,2016,Percent,0.955,,
County,Barton,2014,Percent,0.944,,
County,Barton,2015,Percent,0.946,,
County,Barton,2016,Percent,0.938,,
County,Bates,2014,Percent,0.959,,
County,Bates,2015,Percent,0.963,,
County,Bates,2016,Percent,0.967,,
County,Benton,2014,Percent,0.931,,
County,Benton,2015,Percent,0.891,,
County,Benton,2016,Percent,0.925,,
County,Bollinger,2014,Percent,0.984,,
County,Bollinger,2015,Percent,0.976,,
County,Bollinger,2016,Percent,1,,
County,Boone,2014,Percent,0.912,,
County,Boone,2015,Percent,0.924,,
County,Boone,2016,Percent,0.913,,
County,Buchanan,2014,Percent,0.938,,
County,Buchanan,2015,Percent,0.943,,
County,Buchanan,2016,Percent,0.945,,
County,Butler,2014,Percent,0.891,,
County,Butler,2015,Percent,0.864,,
County,Butler,2016,Percent,0.89,,
County,Caldwell,2014,Percent,0.973,,
County,Caldwell,2015,Percent,1,,
County,Caldwell,2016,Percent,0.992,,
County,Callaway,2014,Percent,0.853,,
County,Callaway,2015,Percent,0.896,,
County,Callaway,2016,Percent,0.892,,
County,Camden,2014,Percent,0.946,,
County,Camden,2015,Percent,0.966,,
County,Camden,2016,Percent,0.954,,
County,Cape Girardeau,2014,Percent,0.891,,
County,Cape Girardeau,2015,Percent,0.909,,
County,Cape Girardeau,2016,Percent,0.913,,
County,Carroll,2014,Percent,0.955,,
County,Carroll,2015,Percent,0.971,,
County,Carroll,2016,Percent,1,,
County,Carter,2014,Percent,1,,
County,Carter,2015,Percent,0.978,,
County,Carter,2016,Percent,1,,
County,Cass,2014,Percent,0.915,,
County,Cass,2015,Percent,0.925,,
County,Cass,2016,Percent,0.927,,
County,Cedar,2014,Percent,0.942,,
County,Cedar,2015,Percent,0.933,,
County,Cedar,2016,Percent,0.959,,
County,Chariton,2014,Percent,0.926,,
County,Chariton,2015,Percent,0.95,,
County,Chariton,2016,Percent,0.987,,
County,Christian,2014,Percent,0.968,,
County,Christian,2015,Percent,0.95,,
County,Christian,2016,Percent,0.953,,
County,Clark,2014,Percent,0.953,,
County,Clark,2015,Percent,0.974,,
County,Clark,2016,Percent,0.958,,
County,Clay,2014,Percent,0.944,,
County,Clay,2015,Percent,0.944,,
County,Clay,2016,Percent,0.962,,
County,Clinton,2014,Percent,0.932,,
County,Clinton,2015,Percent,0.937,,
County,Clinton,2016,Percent,0.933,,
County,Cole,2014,Percent,0.877,,
County,Cole,2015,Percent,0.889,,
County,Cole,2016,Percent,0.878,,
County,Cooper,2014,Percent,0.93,,
County,Cooper,2015,Percent,0.945,,
County,Cooper,2016,Percent,0.975,,
County,Crawford,2014,Percent,0.921,,
County,Crawford,2015,Percent,0.92,,
County,Crawford,2016,Percent,0.918,,
County,Dade,2014,Percent,0.899,,
County,Dade,2015,Percent,0.932,,
County,Dade,2016,Percent,0.952,,
County,Dallas,2014,Percent,0.814,,
County,Dallas,2015,Percent,0.863,,
County,Dallas,2016,Percent,0.869,,
County,Daviess,2014,Percent,0.972,,
County,Daviess,2015,Percent,0.956,,
County,Daviess,2016,Percent,0.978,,
County,DeKalb,2014,Percent,0.959,,
County,DeKalb,2015,Percent,0.977,,
County,DeKalb,2016,Percent,0.933,,
County,Dent,2014,Percent,0.98,,
County,Dent,2015,Percent,0.964,,
County,Dent,2016,Percent,0.98,,
County,Douglas,2014,Percent,0.98,,
County,Douglas,2015,Percent,0.991,,
County,Douglas,2016,Percent,0.99,,
County,Dunklin,2014,Percent,0.944,,
County,Dunklin,2015,Percent,0.942,,
County,Dunklin,2016,Percent,0.958,,
County,Franklin,2014,Percent,0.909,,
County,Franklin,2015,Percent,0.923,,
County,Franklin,2016,Percent,0.913,,
County,Gasconade,2014,Percent,0.952,,
County,Gasconade,2015,Percent,0.966,,
County,Gasconade,2016,Percent,0.909,,
County,Gentry,2014,Percent,1,,
County,Gentry,2015,Percent,0.933,,
County,Gentry,2016,Percent,0.951,,
County,Greene,2014,Percent,0.915,,
County,Greene,2015,Percent,0.921,,
County,Greene,2016,Percent,0.916,,
County,Grundy,2014,Percent,0.921,,
County,Grundy,2015,Percent,0.931,,
County,Grundy,2016,Percent,0.891,,
County,Harrison,2014,Percent,0.929,,
County,Harrison,2015,Percent,0.968,,
County,Harrison,2016,Percent,0.969,,
County,Henry,2014,Percent,0.884,,
County,Henry,2015,Percent,0.861,,
County,Henry,2016,Percent,0.905,,
County,Hickory,2014,Percent,0.992,,
County,Hickory,2015,Percent,0.982,,
County,Hickory,2016,Percent,0.992,,
County,Holt,2014,Percent,0.911,,
County,Holt,2015,Percent,0.966,,
County,Holt,2016,Percent,0.974,,
County,Howard,2014,Percent,0.883,,
County,Howard,2015,Percent,0.932,,
County,Howard,2016,Percent,0.899,,
County,Howell,2014,Percent,0.962,,
County,Howell,2015,Percent,0.951,,
County,Howell,2016,Percent,0.955,,
County,Iron,2014,Percent,0.977,,
County,Iron,2015,Percent,0.952,,
County,Iron,2016,Percent,0.924,,
County,Jackson,2014,Percent,0.823,,
County,Jackson,2015,Percent,0.855,,
County,Jackson,2016,Percent,0.868,,
County,Jasper,2014,Percent,0.9,,
